sample_angle_deg,detector_angle_deg,intensity_V
15.1787,117.8525,0.960062
20.2544,127.2964,0.891883
29.9312,144.8701,0.673123
35.2134,156.0015,0.581118
40.3594,167.4272,0.492945
45.0791,178.4311,0.416027
50.0186,189.6284,0.355112
55.0811,200.0830,0.340569
60.9082,210.1509,0.369934
65.0435,216.5845,0.381586
69.7544,223.9717,0.471623
74.9970,233.1387,0.574153
80.3496,243.0527,0.764854
84.9287,251.8374,1.039180
